REGION,STATE,CITY,POPULATION
Midwest,Minnesota,"Randall, MN",623
Mountain,Utah,"Myton, UT",623
Midwest,South Dakota,"Canistota, SD",622
Mountain,Idaho,"Downey, ID",621
South,Arkansas,"Black Rock, AR",619
South,Texas,"Hawley, TX",619
Midwest,South Dakota,"Menno, SD",616
South,Arkansas,"Mountainburg, AR",615
Midwest,Missouri,"Pleasant Hope, MO",615
Midwest,Iowa,"Crescent, IA",614
South,Tennessee,"Allardt, TN",614
Mountain,Idaho,"Hayden Lake, ID",613
South,Georgia,"Blairsville, GA",611
Midwest,North Dakota,"Reile's Acres, ND",611
South,Georgia,"Whitesburg, GA",610
Midwest,Minnesota,"Littlefork, MN",610
South,Georgia,"Colbert, GA",609
Midwest,Missouri,"Matthews, MO",609
Pacific,Oregon,"Johnson City, OR",608
South,Arkansas,"Palestine, AR",607
South,Kentucky,"Murray Hill, KY",607
Midwest,Missouri,"Queen City, MO",606
South,Texas,"Campbell, TX",606
South,Texas,"Niederwald, TX",606
Midwest,Kansas,"Maple Hill, KS",605
Midwest,North Dakota,"Rolette, ND",605
Midwest,Missouri,"Edgerton, MO",603
Mountain,Idaho,"Dubois, ID",602
Midwest,North Dakota,"New England, ND",602
South,Texas,"Miami, TX",602
South,Texas,"Nome, TX",602
South,Florida,"Laurel Hill, FL",601
Midwest,Minnesota,"Barnum, MN",601
South,Texas,"Graford, TX",601
South,Georgia,"Newton, GA",600
Midwest,Kansas,"St. Paul, KS",599
South,Texas,"Murchison, TX",599
Midwest,Iowa,"Clermont, IA",597
Midwest,Iowa,"Doon, IA",596
Midwest,South Dakota,"Avon, SD",596
Midwest,Iowa,"Kellogg, IA",594
Mountain,Idaho,"Roberts, ID",592
Midwest,North Dakota,"Portland, ND",591
Midwest,South Dakota,"Burke, SD",588
South,Arkansas,"Cotton Plant, AR",587
South,Kentucky,"Butler, KY",586
Midwest,Minnesota,"Butterfield, MN",586
South,Kentucky,"Bedford, KY",585
Midwest,South Dakota,"Colman, SD",585
Pacific,Alaska,"Wainwright, AK",584
