NAME,STATE,POPULATION
Odessa city,Texas,116861
Richardson city,Texas,116783
Fairfield city,California,116266
El Monte city,California,116109
Rochester city,Minnesota,115733
Clearwater city,Florida,115513
Carlsbad city,California,115330
Springfield city,Illinois,114868
Temecula city,California,114327
West Jordan city,Utah,113905
Costa Mesa city,California,113825
Miami Gardens city,Florida,113750
Cambridge city,Massachusetts,113630
College Station city,Texas,113564
Murrieta city,California,113326
Downey city,California,113092
Peoria city,Illinois,112883
Westminster city,Colorado,112812
Elgin city,Illinois,112456
Antioch city,California,111674
Palm Bay city,Florida,111657
High Point city,North Carolina,111513
Lowell city,Massachusetts,111346
Manchester city,New Hampshire,111196
Pueblo city,Colorado,111127
Gresham city,Oregon,111053
North Charleston city,South Carolina,110861
San Buenaventura (Ventura) city,California,110790
Inglewood city,California,110598
Pompano Beach city,Florida,110473
Centennial city,Colorado,110250
West Palm Beach city,Florida,110222
Everett city,Washington,110079
Richmond city,California,110040
Clovis city,California,109691
Billings city,Montana,109642
Waterbury city,Connecticut,108629
Broken Arrow city,Oklahoma,108303
Lakeland city,Florida,108054
West Covina city,California,107598
Boulder city,Colorado,107125
Daly City city,California,107074
Santa Maria city,California,107014
Hillsboro city,Oregon,106894
Sandy Springs city,Georgia,106739
Norwalk city,California,106084
Jurupa Valley city,California,106028
Lewisville city,Texas,106021
Greeley city,Colorado,105448
Green Bay city,Wisconsin,105116
Tyler city,Texas,104991
League City city,Texas,104903
Burbank city,California,104834
San Mateo city,California,104748
Wichita Falls city,Texas,104747
El Cajon city,California,103894
Rialto city,California,103562
Davenport city,Iowa,102320
South Bend city,Indiana,102245
Las Cruces city,New Mexico,101712
Vista city,California,101568
Renton city,Washington,101379
Sparks city,Nevada,100888
Allen city,Texas,100685
Tuscaloosa city,Alabama,100287
San Angelo city,Texas,100119
Vacaville city,California,100032
Meridian city,Idaho,99926
Kenosha city,Wisconsin,99877
Roanoke city,Virginia,99837
Albany city,New York,98251
Boca Raton city,Florida,98150
