NAME,STATE,POPULATION
Eloy city,Arizona,19168
South Burlington city,Vermont,19141
Oroville city,California,19121
Helena city,Alabama,19072
Orange city,Texas,19072
Shelbyville city,Indiana,19070
Madisonville city,Kentucky,19067
Troy city,Alabama,19037
Twinsburg city,Ohio,18959
Highland city,Utah,18957
Alice city,Texas,18949
El Reno city,Oklahoma,18948
Sylvania city,Ohio,18941
Whitehall city,Ohio,18913
Newton city,Kansas,18869
Berea city,Ohio,18850
Altus city,Oklahoma,18849
Erlanger city,Kentucky,18840
Brownwood city,Texas,18831
Ansonia city,Connecticut,18813
North Liberty city,Iowa,18813
Bellaire city,Texas,18797
Monroe city,Washington,18789
Lexington city,North Carolina,18775
Westbrook city,Maine,18730
Claremore city,Oklahoma,18729
Onalaska city,Wisconsin,18712
Creve Coeur city,Missouri,18702
Altoona city,Iowa,18699
Cortland city,New York,18698
Forest Park city,Ohio,18690
Weirton city,West Virginia,18685
Mayfield Heights city,Ohio,18682
Hopkins city,Minnesota,18678
Brook Park city,Ohio,18626
Winthrop Town city,Massachusetts,18625
Springboro city,Ohio,18610
Augusta city,Maine,18594
Westminster city,Maryland,18593
Seminole city,Florida,18576
Milledgeville city,Georgia,18575
Chowchilla city,California,18558
Mesquite city,Nevada,18541
Cocoa city,Florida,18532
Thomasville city,Georgia,18515
Gautier city,Mississippi,18512
Laurel city,Mississippi,18493
Winchester city,Kentucky,18486
Niles city,Ohio,18473
Fairmont city,West Virginia,18467
Durango city,Colorado,18465
Jacksonville city,Illinois,18454
Farmington city,Missouri,18425
Marshfield city,Wisconsin,18405
Selma city,Alabama,18370
Hyattsville city,Maryland,18333
Stafford city,Texas,18315
Rancho Mirage city,California,18306
Palestine city,Texas,18306
Foley city,Alabama,18288
Katy city,Texas,18282
Cudahy city,Wisconsin,18282
Macomb city,Illinois,18267
Trenton city,Michigan,18255
Central Point city,Oregon,18234
Maumelle city,Arkansas,18214
Ottawa city,Illinois,18180
Eastlake city,Ohio,18172
Ashtabula city,Ohio,18144
St. Matthews city,Kentucky,18139
Arroyo Grande city,California,18123
Manchester city,Missouri,18112
Newburyport city,Massachusetts,18060
Natchitoches city,Louisiana,18048
McAlester city,Oklahoma,18044
El Dorado city,Arkansas,18030
Sycamore city,Illinois,18022
St. Marys city,Georgia,18019
Steubenville city,Ohio,18003
Arcata city,California,18000
Santa Fe Springs city,California,17980
Lenoir city,North Carolina,17943
Gretna city,Louisiana,17935
Lackawanna city,New York,17934
Marco Island city,Florida,17904
Mattoon city,Illinois,17886
Takoma Park city,Maryland,17885
Sheridan city,Wyoming,17860
Safety Harbor city,Florida,17844
Amsterdam city,New York,17844
Terrell city,Texas,17842
Colonial Heights city,Virginia,17830
White Settlement city,Texas,17828
Wisconsin Rapids city,Wisconsin,17806
Fayetteville city,Georgia,17802
Durant city,Oklahoma,17764
Marion city,Illinois,17762
Canby city,Oregon,17759
Elizabeth City city,North Carolina,17756
Logansport city,Indiana,17755
Sartell city,Minnesota,17752
Menasha city,Wisconsin,17748
Vincennes city,Indiana,17729
Albert Lea city,Minnesota,17703
Ocean Springs city,Mississippi,17682
Radford city,Virginia,17658
Centerville city,Utah,17657
Hannibal city,Missouri,17590
St. Michael city,Minnesota,17565
Maitland city,Florida,17554
Tallmadge city,Ohio,17552
Imperial city,California,17550
Tiffin city,Ohio,17546
South Houston city,Texas,17543
Zachary city,Louisiana,17538
Kirksville city,Missouri,17536
Bay City city,Texas,17528
Anoka city,Minnesota,17522
Greenfield city,California,17517
Nederland city,Texas,17491
Pampa city,Texas,17475
Oswego city,New York,17465
Amesbury Town city,Massachusetts,17457
Greenfield Town city,Massachusetts,17442
Hermiston city,Oregon,17428
New Philadelphia city,Ohio,17424
Martinsburg city,West Virginia,17404
Palos Hills city,Illinois,17358
New Castle city,Indiana,17351
North Canton city,Ohio,17290
Portland city,Texas,17287
Ada city,Oklahoma,17280
Alton city,Texas,17278
West Columbia city,South Carolina,17265
Centralia city,Washington,17216
East Cleveland city,Ohio,17187
Clive city,Iowa,17172
Hurricane city,Utah,17135
La Vista city,Nebraska,17116
South Ogden city,Utah,17101
Huntington city,Indiana,17084
Kingsland city,Georgia,17077
Poplar Bluff city,Missouri,17070
Sunland Park city,New Mexico,17061
Taylor city,Texas,16982
Anacortes city,Washington,16953
Brenham city,Texas,16951
Wayne city,Michigan,16947
Vero Beach city,Florida,16919
Southbridge Town city,Massachusetts,16911
Artesia city,California,16904
Lebanon city,Oregon,16878
Cohoes city,New York,16875
Goodlettsville city,Tennessee,16867
Tavares city,Florida,16865
El Segundo city,California,16853
Norcross city,Georgia,16845
Siloam Springs city,Arkansas,16842
Springfield city,Tennessee,16838
Norwalk city,Ohio,16824
Washington city,Illinois,16811
Clayton city,Missouri,16805
Bristol city,Virginia,16790
Coalinga city,California,16766
La Marque city,Texas,16766
Otsego city,Minnesota,16755
Tahlequah city,Oklahoma,16736
Danville city,Kentucky,16735
Mercedes city,Texas,16734
Tifton city,Georgia,16733
Oconomowoc city,Wisconsin,16717
Sevierville city,Tennessee,16716
Seagoville city,Texas,16715
Defiance city,Ohio,16687
Perry city,Georgia,16684
Pendleton city,Oregon,16677
Mount Vernon city,Ohio,16659
Clemson city,South Carolina,16649
Donna city,Texas,16638
Waterville city,Maine,16600
Manassas Park city,Virginia,16591
Fairview Heights city,Illinois,16588
Highland Village city,Texas,16587
Country Club Hills city,Illinois,16564
Troutdale city,Oregon,16554
Stuart city,Florida,16543
Cañon City city,Colorado,16539
Ham Lake city,Minnesota,16528
Morganton city,North Carolina,16519
Hazel Park city,Michigan,16489
Opa-locka city,Florida,16479
Lake Mary city,Florida,16474
Dyersburg city,Tennessee,16473
Laconia city,New Hampshire,16464
Aberdeen city,Washington,16462
Riverdale city,Georgia,16439
Menomonie city,Wisconsin,16429
Gainesville city,Texas,16419
Calhoun city,Georgia,16414
Red Wing city,Minnesota,16412
Sunnyside city,Washington,16407
Beckley city,West Virginia,16404
Beaver Dam city,Wisconsin,16369
Streetsboro city,Ohio,16365
Opelousas city,Louisiana,16323
Center Point city,Alabama,16313
Mount Clemens city,Michigan,16312
North Myrtle Beach city,South Carolina,16310
Dallas city,Oregon,16301
Uvalde city,Texas,16298
Coos Bay city,Oregon,16295
Republic city,Missouri,16294
Fairview Park city,Ohio,16292
Brunswick city,Georgia,16287
Chickasha city,Oklahoma,16276
Fort Thomas city,Kentucky,16263
Mount Pleasant city,Texas,16257
New Port Richey city,Florida,16256
Winder city,Georgia,16244
Buffalo city,Minnesota,16201
Laguna Woods city,California,16200
Fremont city,Ohio,16193
Prospect Heights city,Illinois,16180
Crawfordsville city,Indiana,16174
Douglas city,Arizona,16165
Buda city,Texas,16163
Sikeston city,Missouri,16155
Somerton city,Arizona,16120
Kaukauna city,Wisconsin,16086
Lake Wales city,Florida,16066
Boerne city,Texas,16056
Easthampton Town city,Massachusetts,16050
Aberdeen city,Maryland,16049
Hibbing city,Minnesota,16041
Ukiah city,California,16036
Sulphur Springs city,Texas,16029
Conyers city,Georgia,16015
Rye city,New York,16009
Humble city,Texas,15997
Indianola city,Iowa,15990
Aurora city,Ohio,15982
Hernando city,Mississippi,15981
Albemarle city,North Carolina,15977
Auburndale city,Florida,15973
Boulder City city,Nevada,15971
Grandville city,Michigan,15970
Lebanon city,Indiana,15959
Lake St. Louis city,Missouri,15936
Shelbyville city,Kentucky,15872
Frankfort city,Indiana,15827
Live Oak city,Texas,15820
Fillmore city,California,15812
Dublin city,Georgia,15811
Shively city,Kentucky,15800
Heber city,Utah,15792
Groves city,Texas,15769
Asbury Park city,New Jersey,15767
Clarksdale city,Mississippi,15732
La Palma city,California,15722
Greenwood Village city,Colorado,15721
Washougal city,Washington,15711
Overland city,Missouri,15708
Pacific Grove city,California,15698
Ripon city,California,15677
The Dalles city,Oregon,15646
Long Beach city,Mississippi,15642
Mount Holly city,North Carolina,15635
Hermitage city,Pennsylvania,15635
Clarksburg city,West Virginia,15621
West University Place city,Texas,15608
Mitchell city,South Dakota,15603
Berea city,Kentucky,15597
Middleburg Heights city,Ohio,15587
Pataskala city,Ohio,15566
New Haven city,Indiana,15560
Grosse Pointe Woods city,Michigan,15560
Ammon city,Idaho,15540
Fairburn city,Georgia,15520
Jasper city,Indiana,15519
Traverse City city,Michigan,15515
River Falls city,Wisconsin,15510
Dickson city,Tennessee,15509
Hueytown city,Alabama,15460
Rutland city,Vermont,15440
Talladega city,Alabama,15426
Americus city,Georgia,15400
Crowley city,Texas,15389
Jamestown city,North Dakota,15387
Cullman city,Alabama,15385
Bemidji city,Minnesota,15366
Villa Rica city,Georgia,15345
Great Bend city,Kansas,15344
Bay Village city,Ohio,15344
Berkley city,Michigan,15331
Susanville city,California,15326
Millbrook city,Alabama,15318
Canyon city,Texas,15306
Parlier city,California,15250
Niceville city,Florida,15249
Zephyrhills city,Florida,15247
Dixon city,Illinois,15202
Laurinburg city,North Carolina,15156
Lakeway city,Texas,15154
West Park city,Florida,15153
Callaway city,Florida,15144
Newton city,Iowa,15109
McFarland city,California,15093
Clearlake city,California,15066
Hartford city,Wisconsin,15064
Longwood city,Florida,15061
Vandalia city,Ohio,15053
Powder Springs city,Georgia,15052
Eden city,North Carolina,15041
Newport city,Kentucky,15033
Williamsburg city,Virginia,15031
Mebane city,North Carolina,14973
Mineral Wells city,Texas,14962
College Park city,Georgia,14959
Mount Vernon city,Illinois,14956
Gloversville city,New York,14951
Kerman city,California,14932
Jackson city,Missouri,14932
Jacksonville city,Texas,14910
Tonawanda city,New York,14904
Hereford city,Texas,14888
Natchez city,Mississippi,14886
Scottsbluff city,Nebraska,14874
Chubbuck city,Idaho,14869
Buford city,Georgia,14868
Henderson city,North Carolina,14852
Hugo city,Minnesota,14828
Graham city,North Carolina,14814
Beech Grove city,Indiana,14795
Roanoke Rapids city,North Carolina,14787
Dumas city,Texas,14785
Kilgore city,Texas,14782
Sterling city,Illinois,14766
Warsaw city,Indiana,14748
Thibodaux city,Louisiana,14713
Hayden city,Idaho,14693
Jennings city,Missouri,14674
Batavia city,New York,14661
Morris city,Illinois,14651
Worthington city,Ohio,14646
Corinth city,Mississippi,14643
Oldsmar city,Florida,14617
Lebanon city,Missouri,14611
Fraser city,Michigan,14608
West Richland city,Washington,14596
Alexander City city,Alabama,14595
Falls Church city,Virginia,14583
Saraland city,Alabama,14576
Mount Washington city,Kentucky,14554
Robbinsdale city,Minnesota,14544
Whitewater city,Wisconsin,14540
Owosso city,Michigan,14539
Rio Grande City city,Texas,14518
Yankton city,South Dakota,14516
Scottsboro city,Alabama,14484
Pewaukee city,Wisconsin,14476
Hawaiian Gardens city,California,14450
Glens Falls city,New York,14439
Hewitt city,Texas,14435
Pineville city,Louisiana,14429
Ozark city,Alabama,14428
Miami Springs city,Florida,14424
Hartselle city,Alabama,14373
Glasgow city,Kentucky,14362
Mill Valley city,California,14355
Carthage city,Missouri,14350
Greensburg city,Pennsylvania,14299
Forrest City city,Arkansas,14291
Beacon city,New York,14289
Red Bluff city,California,14287
Lynden city,Washington,14259
St. Augustine city,Florida,14243
Mountain Home city,Idaho,14224
Washington Court House city,Ohio,14215
Deming city,New Mexico,14183
New Franklin city,Ohio,14165
Moultrie city,Georgia,14160
Willowick city,Ohio,14148
Livingston city,California,14140
Grovetown city,Georgia,14109
Cayce city,South Carolina,14086
Fort Payne city,Alabama,14071
Oneonta city,New York,14057
King City city,California,14055
Blytheville city,Arkansas,14051
Covington city,Georgia,14044
Chippewa Falls city,Wisconsin,14035
Ferndale city,Washington,14026
Muscle Shoals city,Alabama,14022
Pierre city,South Dakota,14004
Centerton city,Arkansas,14001
Auburn city,California,13997
Port Orchard city,Washington,13997
Greenwood city,Mississippi,13996
Grain Valley city,Missouri,13996
East Wenatchee city,Washington,13983
Calera city,Alabama,13979
California City city,California,13972
Washington city,Missouri,13966
Sterling city,Colorado,13961
Hendersonville city,North Carolina,13954
Hickory Hills city,Illinois,13950
Hidalgo city,Texas,13931
Circleville city,Ohio,13930
Mount Dora city,Florida,13916
Gardendale city,Alabama,13906
Hutchinson city,Minnesota,13895
Waycross city,Georgia,13876
Canton city,Illinois,13865
Reidsville city,North Carolina,13857
Wixom city,Michigan,13831
Lincoln city,Illinois,13816
Glenpool city,Oklahoma,13814
Wood Dale city,Illinois,13798
Sharonville city,Ohio,13797
Lockhart city,Texas,13788
Maumee city,Ohio,13787
Bexley city,Ohio,13786
Fergus Falls city,Minnesota,13783
Moberly city,Missouri,13783
Destin city,Florida,13765
North Mankato city,Minnesota,13746
Harper Woods city,Michigan,13743
Elizabethton city,Tennessee,13743
Beaufort city,South Carolina,13729
Sauk Rapids city,Minnesota,13722
Olean city,New York,13711
Marshall city,Minnesota,13710
Hudson city,Wisconsin,13706
St. Helens city,Oregon,13701
Soddy-Daisy city,Tennessee,13693
Seabrook city,Texas,13693
Monroe city,Ohio,13683
Pell City city,Alabama,13676
Marietta city,Ohio,13673
McMinnville city,Tennessee,13662
Palmetto city,Florida,13661
Brecksville city,Ohio,13632
Sault Ste. Marie city,Michigan,13631
Grover Beach city,California,13628
Levelland city,Texas,13628
Pottsville city,Pennsylvania,13625
Carpinteria city,California,13622
Jasper city,Alabama,13618
Athens city,Tennessee,13615
Atlantic Beach city,Florida,13608
Monticello city,Minnesota,13599
Alexandria city,Minnesota,13592
Havre de Grace city,Maryland,13576
Lone Tree city,Colorado,13566
Washington city,Pennsylvania,13566
Vadnais Heights city,Minnesota,13561
Lyndhurst city,Ohio,13557
Palos Verdes Estates city,California,13544
Baker city,Louisiana,13537
West Haven city,Utah,13532
Lebanon city,New Hampshire,13522
Snoqualmie city,Washington,13500
Monroe city,Georgia,13484
Bluffdale city,Utah,13484
Groveland city,Florida,13474
Andrews city,Texas,13472
Englewood city,Ohio,13470
Solana Beach city,California,13444
Santa Fe city,Texas,13442
Brainerd city,Minnesota,13428
Youngsville city,Louisiana,13424
Moss Point city,Mississippi,13398
Lake Forest Park city,Washington,13392
San Marino city,California,13327
Dardenne Prairie city,Missouri,13310
Lindsay city,California,13303
Henderson city,Texas,13300
Bedford city,Indiana,13296
Fruita city,Colorado,13294
Warrenville city,Illinois,13269
Sharon city,Pennsylvania,13259
Fostoria city,Ohio,13256
Warrensville Heights city,Ohio,13251
Worthington city,Minnesota,13247
New Ulm city,Minnesota,13238
Dallas city,Georgia,13237
Clayton city,Ohio,13215
Miami city,Oklahoma,13212
Powell city,Ohio,13204
McPherson city,Kansas,13201
Las Vegas city,New Mexico,13201
La Grande city,Oregon,13173
Auburn city,Indiana,13169
Bardstown city,Kentucky,13165
Bellefontaine city,Ohio,13161
Martinsville city,Virginia,13142
Streator city,Illinois,13135
Coatesville city,Pennsylvania,13123
Huron city,South Dakota,13118
Andover city,Kansas,13111
Butler city,Pennsylvania,13107
Verona city,Wisconsin,13107
Mounds View city,Minnesota,13098
Newton city,North Carolina,13098
Stoughton city,Wisconsin,13088
Glenn Heights city,Texas,13084
Harrison city,Arkansas,13079
Bay St. Louis city,Mississippi,13043
Rochester city,Michigan,13029
University Heights city,Ohio,13028
New Carrollton city,Maryland,13023
Chelsea city,Alabama,13011
El Dorado city,Kansas,12993
Grass Valley city,California,12987
Rogers city,Minnesota,12984
Claremont city,New Hampshire,12982
Meadville city,Pennsylvania,12973
North Adams city,Massachusetts,12970
Steamboat Springs city,Colorado,12965
Moody city,Alabama,12956
Orangeburg city,South Carolina,12954
Forest Hill city,Texas,12953
Commerce city,California,12947
Beeville city,Texas,12937
South Daytona city,Florida,12936
West Carrollton city,Ohio,12924
Trenton city,Ohio,12912
South Sioux City city,Nebraska,12911
Port Neches city,Texas,12898
Geneva city,New York,12886
Herrin city,Illinois,12880
Malibu city,California,12877
Half Moon Bay city,California,12870
Connersville city,Indiana,12866
Clarkston city,Georgia,12848
Fulton city,Missouri,12844
Crowley city,Louisiana,12839
Lumberton city,Texas,12829
McComb city,Mississippi,12799
Gaffney city,South Carolina,12782
Red Oak city,Texas,12780
Wilton Manors city,Florida,12773
Greenville city,Ohio,12771
Loveland city,Ohio,12770
Dover city,Ohio,12766
Panama City Beach city,Florida,12757
Borger city,Texas,12754
Anna city,Texas,12753
Federal Heights city,Colorado,12744
Grimes city,Iowa,12742
St. Ann city,Missouri,12737
Wickliffe city,Ohio,12736
Glendale city,Wisconsin,12728
Canton city,Mississippi,12725
Marshall city,Missouri,12708
Athens city,Texas,12704
Lilburn city,Georgia,12700
Coolidge city,Arizona,12698
Portland city,Tennessee,12697
West Monroe city,Louisiana,12657
Conneaut city,Ohio,12642
Richmond Hill city,Georgia,12632
Tehachapi city,California,12630
Bedford city,Ohio,12627
Lakeland city,Tennessee,12618
Jacksonville city,Alabama,12612
Grand Terrace city,California,12595
Effingham city,Illinois,12589
Derby city,Connecticut,12581
Royse City city,Texas,12567
Markham city,Illinois,12538
Choctaw city,Oklahoma,12524
Grenada city,Mississippi,12511
Boone city,Iowa,12510
Azle city,Texas,12495
Cornelius city,Oregon,12493
South Charleston city,West Virginia,12493
Woodhaven city,Michigan,12486
Fort Atkinson city,Wisconsin,12482
Kewanee city,Illinois,12473
Irondale city,Alabama,12468
New Kensington city,Pennsylvania,12466
Platteville city,Wisconsin,12457
Centralia city,Illinois,12452
Cheney city,Washington,12446
North St. Paul city,Minnesota,12444
Marion city,Arkansas,12440
Avenal city,California,12440
Marysville city,California,12413
Palos Heights city,Illinois,12403
Wilmington city,Ohio,12398
Larkspur city,California,12396
Gatesville city,Texas,12387
New Baltimore city,Michigan,12380
Cambridge city,Maryland,12376
Gulfport city,Florida,12371
St. Marys city,Pennsylvania,12370
Northlake city,Illinois,12364
Ottawa city,Kansas,12342
Mountain Home city,Arkansas,12332
Minden city,Louisiana,12319
Mandeville city,Louisiana,12318
Beatrice city,Nebraska,12295
Fernandina Beach city,Florida,12292
South Miami city,Florida,12281
Palmer Town city,Massachusetts,12279
Abbeville city,Louisiana,12272
Woodward city,Oklahoma,12268
Sylacauga city,Alabama,12264
Shepherdsville city,Kentucky,12260
West Plains city,Missouri,12248
Waconia city,Minnesota,12232
Escanaba city,Michigan,12223
Holly Hill city,Florida,12218
Port Lavaca city,Texas,12212
Gladstone city,Oregon,12207
Blue Ash city,Ohio,12199
Fortuna city,California,12191
Brookhaven city,Mississippi,12173
Freeport city,Texas,12169
Baraboo city,Wisconsin,12164
Lake City city,Florida,12163
Florida City city,Florida,12155
Clayton city,California,12150
Kelso city,Washington,12130
Washington city,Indiana,12114
Bainbridge city,Georgia,12111
Riverview city,Michigan,12107
Winfield city,Kansas,12104
Fate city,Texas,12090
Amherst city,Ohio,12088
Green River city,Wyoming,12070
Richmond city,Texas,12064
Loganville city,Georgia,12062
Poquoson city,Virginia,12053
Belmont city,North Carolina,12046
Eufaula city,Alabama,12044
Broussard city,Louisiana,12042
Festus city,Missouri,12034
Leeds city,Alabama,12031
Neosho city,Missouri,12031
Cottonwood city,Arizona,12023
Troy city,Missouri,12015
Norton city,Ohio,12013
Kingsburg city,California,12002
Okmulgee city,Oklahoma,11998
Woodinville city,Washington,11997
Lake Station city,Indiana,11965
Lansing city,Kansas,11947
Clawson city,Michigan,11946
Scotts Valley city,California,11945
Macedonia city,Ohio,11940
Cloquet city,Minnesota,11938
Holly Springs city,Georgia,11935
East Bethel city,Minnesota,11928
Blackfoot city,Idaho,11922
Artesia city,New Mexico,11921
St. Peter city,Minnesota,11906
Greensburg city,Indiana,11902
Somersworth city,New Hampshire,11900
Garden City city,Idaho,11890
Crestwood city,Missouri,11870
Arkansas City city,Kansas,11866
Evanston city,Wyoming,11866
Lewisburg city,Tennessee,11857
Portales city,New Mexico,11850
Dunkirk city,New York,11848
Healdsburg city,California,11840
Sedro-Woolley city,Washington,11838
Weatherford city,Oklahoma,11832
Bucyrus city,Ohio,11817
Gulf Shores city,Alabama,11809
Pontiac city,Illinois,11809
Bogalusa city,Louisiana,11789
Enumclaw city,Washington,11784
Salem city,Ohio,11782
Madison city,Indiana,11777
Port Washington city,Wisconsin,11762
Emeryville city,California,11758
Maryville city,Missouri,11757
Red Bank city,Tennessee,11754
El Campo city,Texas,11751
South Lyon city,Michigan,11741
Franklin city,Ohio,11735
Cocoa Beach city,Florida,11733
East Grand Rapids city,Michigan,11731
Cleveland city,Mississippi,11729
Tomball city,Texas,11707
Orange City city,Florida,11697
Beachwood city,Ohio,11696
Newcastle city,Washington,11681
Byram city,Mississippi,11671
Seven Hills city,Ohio,11663
Collegedale city,Tennessee,11659
Santaquin city,Utah,11652
Bridgeton city,Missouri,11648
Jerome city,Idaho,11636
Clute city,Texas,11634
Signal Hill city,California,11622
Robinson city,Texas,11617
D'Iberville city,Mississippi,11610
Spearfish city,South Dakota,11609
White House city,Tennessee,11608
Los Alamitos city,California,11603
Martinsville city,Indiana,11603
Plano city,Illinois,11588
Excelsior Springs city,Missouri,11560
Elk City city,Oklahoma,11555
Oskaloosa city,Iowa,11546
Guymon city,Oklahoma,11545
Minneola city,Florida,11529
Union city,Missouri,11524
Archdale city,North Carolina,11518
Mexico city,Missouri,11506
Lyndon city,Kentucky,11485
Magnolia city,Arkansas,11467
Branson city,Missouri,11467
Cedarburg city,Wisconsin,11465
Ravenna city,Ohio,11461
Crossville city,Tennessee,11449
Mendota city,California,11438
Douglas city,Georgia,11430
Leon Valley city,Texas,11426
Roma city,Texas,11425
Somerset city,Kentucky,11423
Campbellsville city,Kentucky,11415
Urbana city,Ohio,11405
Robstown city,Texas,11385
Piedmont city,California,11378
Smithfield city,Utah,11374
Fredericksburg city,Texas,11369
Woods Cross city,Utah,11362
Newman city,California,11361
Guthrie city,Oklahoma,11350
Mendota Heights city,Minnesota,11343
Gloucester City city,New Jersey,11342
Webb City city,Missouri,11334
Fulton city,New York,11324
Snyder city,Texas,11320
Lawrenceburg city,Kentucky,11318
Harrison city,Ohio,11300
Fenton city,Michigan,11286
Fort Morgan city,Colorado,11281
Haysville city,Kansas,11278
Waupun city,Wisconsin,11269
Lighthouse Point city,Florida,11242
Grand Rapids city,Minnesota,11242
Lower Burrell city,Pennsylvania,11228
Canyon Lake city,California,11223
Morgan City city,Louisiana,11221
Springdale city,Ohio,11213
Edgewood city,Washington,11213
Merriam city,Kansas,11212
Niles city,Michigan,11208
Ocean City city,New Jersey,11206
Ionia city,Michigan,11188
Burkburnett city,Texas,11170
Damascus city,Oregon,11155
Two Rivers city,Wisconsin,11153
Lovington city,New Mexico,11152
Sandy city,Oregon,11149
Jefferson city,Georgia,11136
Grandview city,Washington,11129
Grosse Pointe Park city,Michigan,11125
Webster city,Texas,11123
Town and Country city,Missouri,11115
Sonoma city,California,11108
Show Low city,Arizona,11098
Milford city,Delaware,11075
Riverton city,Wyoming,11058
Satellite Beach city,Florida,11056
Spencer city,Iowa,11045
Coshocton city,Ohio,11044
Sierra Madre city,California,11038
Millington city,Tennessee,11033
Camden city,Arkansas,11030
Peru city,Indiana,11024
Ontario city,Oregon,11009
Raymondville city,Texas,11003
Grantsville city,Utah,11000
Oneida city,New York,10997
Galena Park city,Texas,10989
Yazoo City city,Mississippi,10987
Burlington city,Wisconsin,10978
Lindon city,Utah,10968
Placerville city,California,10936
Big Lake city,Minnesota,10915
Grand Haven city,Michigan,10905
Highland Park city,Michigan,10900
Norwalk city,Iowa,10896
Bolivar city,Missouri,10885
Vidor city,Texas,10854
Malvern city,Arkansas,10839
Sturgis city,Michigan,10824
DeRidder city,Louisiana,10797
Brooklyn city,Ohio,10792
Kings Mountain city,North Carolina,10791
Farmersville city,California,10778
Lincolnton city,North Carolina,10776
Vermillion city,South Dakota,10772
Lawrenceburg city,Tennessee,10772
Gonzales city,Louisiana,10771
Coldwater city,Michigan,10764
Montgomery city,Ohio,10746
Muskegon Heights city,Michigan,10735
Batesville city,Arkansas,10727
Cordele city,Georgia,10726
Ironton city,Ohio,10722
New Albany city,Ohio,10718
Heath city,Ohio,10713
Selma city,Texas,10712
Corning city,New York,10709
Helena-West Helena city,Arkansas,10701
Sebring city,Florida,10696
East Liverpool city,Ohio,10691
Ogdensburg city,New York,10687
Fairfield city,Alabama,10683
West Point city,Mississippi,10675
Poulsbo city,Washington,10670
Jacinto City city,Texas,10661
Van Wert city,Ohio,10654
Arkadelphia city,Arkansas,10650
Taylorville city,Illinois,10650
North Logan city,Utah,10646
Manchester city,Tennessee,10642
Atchison city,Kansas,10636
Morro Bay city,California,10635
Petal city,Mississippi,10633
Bellefontaine Neighbors city,Missouri,10628
Storm Lake city,Iowa,10611
Marinette city,Wisconsin,10607
Monroe city,Wisconsin,10604
West Point city,Utah,10603
Newport city,Oregon,10592
Bedford Heights city,Ohio,10580
Sweetwater city,Texas,10579
Farmington city,Michigan,10578
Eureka city,Missouri,10574
Rockport city,Texas,10555
Exeter city,California,10553
Martin city,Tennessee,10543
Doraville city,Georgia,10540
Greencastle city,Indiana,10529
Castle Pines city,Colorado,10523
Fort Madison city,Iowa,10520
Bellmead city,Texas,10503
Pleasanton city,Texas,10490
Vidalia city,Georgia,10485
Somers Point city,New Jersey,10480
Little Canada city,Minnesota,10477
Burley city,Idaho,10474
Portage city,Wisconsin,10473
North Branch city,Minnesota,10462
Vermilion city,Ohio,10453
Cadillac city,Michigan,10445
Fairfield city,Iowa,10420
Union City city,Tennessee,10420
Richmond Heights city,Ohio,10417
Covington city,Louisiana,10416
Cape Canaveral city,Florida,10413
Cambridge city,Ohio,10411
Avon Park city,Florida,10408
Kennett city,Missouri,10399
Bastrop city,Louisiana,10395
Palatka city,Florida,10389
Picayune city,Mississippi,10382
Forest Acres city,South Carolina,10380
Big Rapids city,Michigan,10378
Alpine city,Utah,10371
Anderson city,California,10370
Vienna city,West Virginia,10370
Arden Hills city,Minnesota,10362
Waterloo city,Illinois,10355
Vernon city,Texas,10346
Pearsall city,Texas,10345
Keokuk city,Iowa,10343
Melvindale city,Michigan,10341
Tega Cay city,South Carolina,10339
Monmouth city,Oregon,10338
Sedona city,Arizona,10336
Cedar Hills city,Utah,10334
Warr Acres city,Oklahoma,10333
Silverton city,Oregon,10313
Newberry city,South Carolina,10302
Ingleside city,Texas,10302
Vernal city,Utah,10291
Celina city,Ohio,10290
Canandaigua city,New York,10289
Pleasant View city,Utah,10287
Nanticoke city,Pennsylvania,10279
Columbia city,Illinois,10274
St. Albans city,West Virginia,10265
Wood River city,Illinois,10263
Reading city,Ohio,10260
Struthers city,Ohio,10254
Ventnor City city,New Jersey,10239
Mount Airy city,North Carolina,10232
Alcoa city,Tennessee,10228
Pella city,Iowa,10225
Berlin city,New Hampshire,10225
Bonham city,Texas,10193
Shasta Lake city,California,10190
Capitola city,California,10180
Troy city,Illinois,10176
Cottage Grove city,Oregon,10169
Princeton city,Texas,10159
Fife city,Washington,10154
Wasilla city,Alaska,10151
Shelton city,Washington,10146
London city,Ohio,10138
Watervliet city,New York,10131
Waverly city,Iowa,10126
Fairmont city,Minnesota,10126
Manvel city,Texas,10115
Eunice city,Louisiana,10113
Wabash city,Indiana,10112
Pleasant Grove city,Alabama,10104
Harrisonville city,Missouri,10103
Clinton city,Tennessee,10103
Paris city,Tennessee,10094
Sumner city,Washington,10093
Snohomish city,Washington,10089
Prineville city,Oregon,10055
Independence city,Oregon,10053
Kearney city,Missouri,10049
Fulshear city,Texas,10044
Galion city,Ohio,10032
Bluffton city,Indiana,10030
Española city,New Mexico,10029
Lexington city,Nebraska,10024
Jennings city,Louisiana,10002
Alpena city,Michigan,9997
Milton city,Florida,9986
Alachua city,Florida,9982
Le Mars city,Iowa,9967
Glenwood Springs city,Colorado,9962
Plymouth city,Indiana,9960
Brandon city,South Dakota,9957
Tipp City city,Ohio,9956
Flat Rock city,Michigan,9955
Elkhorn city,Wisconsin,9953
Cedartown city,Georgia,9939
Granbury city,Texas,9923
Pecos city,Texas,9922
